,internship_id,title,skills,location,work_type,company,clean_description
943575,2599907073896203,Customer Service Manager,Customer experience strategy Customer journey mapping Feedback analysis User research Metrics and KPIs Communication skills,Nairobi,Intern,Deutsche Pfandbriefbank AG,"Customer Experience Strategists develop and execute strategies to enhance the overall customer experience. They analyze customer feedback, identify pain points, and work across departments to improve products, services, and customer interactions."
41950,817987542006035,Customer Service Manager,Customer experience strategy Customer journey mapping Feedback analysis User research Metrics and KPIs Communication skills,Vienna,Intern,KLA,"Customer Experience Strategists develop and execute strategies to enhance the overall customer experience. They analyze customer feedback, identify pain points, and work across departments to improve products, services, and customer interactions."
512332,343540028272466,Customer Service Manager,Customer experience strategy Customer journey mapping Feedback analysis User research Metrics and KPIs Communication skills,Tokyo,Intern,Molson Coors Beverage,"Customer Experience Strategists develop and execute strategies to enhance the overall customer experience. They analyze customer feedback, identify pain points, and work across departments to improve products, services, and customer interactions."
497877,2601473495205084,Customer Service Manager,Customer support Team leadership Customer satisfaction Issue resolution Performance metrics Training and development,San Marino,Intern,Amazon.com,"Customer Support Managers oversee a team of customer support representatives. They set performance goals, resolve complex customer issues, and develop strategies to improve customer satisfaction and the efficiency of support operations."
1357220,1975254654134966,Customer Service Representative,Live chat support Online customer communication Problem resolution,"Malabo (de jure),",Intern,Spotify Technology S.A.,"A Live Chat Support Agent provides customer support through live chat channels, addressing inquiries, troubleshooting issues, and offering timely solutions."
777759,2372496312351421,Customer Service Representative,Live chat support Online customer communication Problem resolution,Baku,Intern,Lam Research,"A Live Chat Support Agent provides customer support through live chat channels, addressing inquiries, troubleshooting issues, and offering timely solutions."
1256367,2369786163363264,Customer Service Representative,Live chat support Online customer communication Problem resolution,Conakry,Intern,ICICI Bank,"A Live Chat Support Agent provides customer support through live chat channels, addressing inquiries, troubleshooting issues, and offering timely solutions."
1164278,2187256974856624,Customer Service Representative,Customer service Call center operations Problem-solving skills,Singapore,Intern,China Vanke,"A Call Center Agent handles incoming and outgoing customer calls, providing assistance, resolving issues, and ensuring a positive customer experience over the phone."
1093293,2783519683636440,Customer Service Representative,Customer service Call center operations Problem-solving skills,Bratislava,Intern,Dominion Energy,"A Call Center Agent handles incoming and outgoing customer calls, providing assistance, resolving issues, and ensuring a positive customer experience over the phone."
620903,1517965912319012,Customer Service Representative,Customer service Call center operations Problem-solving skills,Ngerulmud,Intern,Wayfair,"A Call Center Agent handles incoming and outgoing customer calls, providing assistance, resolving issues, and ensuring a positive customer experience over the phone."
1140588,830401656959805,Customer Service Representative,Live chat support Online customer communication Problem resolution,Lusaka,Intern,US Foods Holding,"A Live Chat Support Agent provides customer support through live chat channels, addressing inquiries, troubleshooting issues, and offering timely solutions."
845064,1356596245581520,Customer Service Representative,Live chat support Online customer communication Problem resolution,Santiago,Intern,Asbury Automotive Group,"A Live Chat Support Agent provides customer support through live chat channels, addressing inquiries, troubleshooting issues, and offering timely solutions."
80087,1467605835995414,Customer Service Representative,Customer service Call center operations Problem-solving skills,Monrovia,Intern,Live Nation Entertainment,"A Call Center Agent handles incoming and outgoing customer calls, providing assistance, resolving issues, and ensuring a positive customer experience over the phone."
142976,1413520651693920,Customer Service Representative,Customer service Call center operations Problem-solving skills,Apia,Intern,Mphasis,"A Call Center Agent handles incoming and outgoing customer calls, providing assistance, resolving issues, and ensuring a positive customer experience over the phone."
916772,123689871760355,Customer Success Manager,Account management Customer relationship management Sales and negotiation Business development Client needs analysis,Athens,Intern,APA,"An Account Manager builds and maintains relationships with clients or customers, ensuring their needs are met and promoting products or services to drive revenue and growth."
661503,2815623998474709,Customer Success Manager,Customer service Problem-solving Communication skills Ticketing system usage Product knowledge,Jerusalem,Intern,Graybar Electric,A Customer Support Specialist assists customers with inquiries or issues related to a companys products or services. They provide solutions and maintain customer satisfaction.
857070,1910895294625537,Customer Success Manager,Onboarding process management New employee orientation Training and development HR policies and procedures Employee engagement strategies,Nuku?alofa,Intern,Indian Oil Corporation,"An Onboarding Specialist helps new employees integrate into the company. They facilitate orientation, training, and ensure a smooth transition into their roles."
552358,2764448190332321,Customer Success Manager,Customer service Problem-solving Communication skills Ticketing system usage Product knowledge,Hagatna,Intern,Adobe,A Customer Support Specialist assists customers with inquiries or issues related to a companys products or services. They provide solutions and maintain customer satisfaction.
318351,2294735777349391,Customer Success Manager,Customer service Problem-solving Communication skills Ticketing system usage Product knowledge,Sucre (de jure),Intern,Eversource Energy,A Customer Support Specialist assists customers with inquiries or issues related to a companys products or services. They provide solutions and maintain customer satisfaction.
904794,1507008751963870,Customer Success Manager,Onboarding process management New employee orientation Training and development HR policies and procedures Employee engagement strategies,Ngerulmud,Intern,Tencent Music Entertainment Group,"An Onboarding Specialist helps new employees integrate into the company. They facilitate orientation, training, and ensure a smooth transition into their roles."
855836,2893408454045475,Customer Success Manager,Account management Customer relationship management Sales and negotiation Business development Client needs analysis,Paramaribo,Intern,Fortune Brands Innovations,"An Account Manager builds and maintains relationships with clients or customers, ensuring their needs are met and promoting products or services to drive revenue and growth."
1442170,1876073349694665,Customer Success Manager,Customer service Problem-solving Communication skills Ticketing system usage Product knowledge,Victoria,Intern,Continental Resources,A Customer Support Specialist assists customers with inquiries or issues related to a companys products or services. They provide solutions and maintain customer satisfaction.
1555839,1796284046314438,Customer Success Manager,Customer service Problem-solving Communication skills Ticketing system usage Product knowledge,Road Town,Intern,Mahindra & Mahindra Financial Services,A Customer Support Specialist assists customers with inquiries or issues related to a companys products or services. They provide solutions and maintain customer satisfaction.
953768,2904524038510480,Customer Success Manager,Customer service Problem-solving Communication skills Ticketing system usage Product knowledge,Stockholm,Intern,Suning.com,A Customer Support Specialist assists customers with inquiries or issues related to a companys products or services. They provide solutions and maintain customer satisfaction.
1192796,1153182028811239,Customer Support Specialist,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,Kathmandu,Intern,National Australia Bank (NAB),"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty."
1489851,229187073699721,Customer Support Specialist,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,Macao,Intern,Bristol-Myers Squibb,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty."
679753,1470444881036237,Customer Support Specialist,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,Abu Dhabi,Intern,Genuine Parts,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty."
1350488,1971484919596891,Customer Support Specialist,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,Niamey,Intern,Casey's General Stores,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty."
892073,1060589655596826,Customer Support Specialist,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,Sri Jayawardenepura Kotte,Intern,Stryker,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty."
1336749,2285183552264029,Customer Support Specialist,"Technical troubleshooting Customer support tools (e.g., Zendesk, Freshdesk) Communication skills Problem-solving and critical thinking Ticket management Knowledge base creation",Nur-Sultan,Intern,Southern,"Technical Support Specialists assist customers or end-users with technical issues related to products or services. They provide troubleshooting, resolve problems, and offer technical guidance through various communication channels, ensuring customer satisfaction."
419824,1415035944551835,Customer Support Specialist,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,Hagatna,Intern,Micro Focus International,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty."
971315,3017787667927923,Customer Support Specialist,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,Praia,Intern,Godrej Consumer Products Limited,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty."
132672,2666950599479886,Customer Support Specialist,"Technical troubleshooting Customer support tools (e.g., Zendesk, Freshdesk) Communication skills Problem-solving and critical thinking Ticket management Knowledge base creation",Pretoria,Intern,TIAA,"Technical Support Specialists assist customers or end-users with technical issues related to products or services. They provide troubleshooting, resolve problems, and offer technical guidance through various communication channels, ensuring customer satisfaction."
1133236,2857729620313904,Customer Support Specialist,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,Seoul,Intern,Home Depot,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty."
477339,105814933364028,Data Analyst,"Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",Abu Dhabi,Intern,Plains GP Holdings,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization."
25950,1424654021909573,Data Analyst,"Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making",Willemstad,Intern,TAG Immobilien AG,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data."
518456,441620265597129,Data Analyst,"Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",Ulaanbaatar,Intern,Lincoln National,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization."
137585,2380285664564299,Data Analyst,"Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",Berlin,Intern,Olin,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization."
1087384,1776223671103519,Data Analyst,"Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",Roseau,Intern,Dana,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization."
1120433,1639694108733218,Data Analyst,"Data quality assessment and improvement Data profiling and validation Knowledge of data quality tools (e.g., Informatica, Talend) Data governance principles SQL for data analysis Attention to detail and data accuracy",Basseterre,Intern,Standard Chartered,"Data Quality Analysts ensure the accuracy, completeness, and consistency of data within an organization. They develop and implement data quality standards, perform data validation, and identify and resolve data quality issues to maintain data integrity."
910938,1793623260176043,Data Analyst,"Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",Porto-Novo,Intern,Exxon Mobil Corporation,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization."
1597582,728517355871843,Data Analyst,"Data quality assessment and improvement Data profiling and validation Knowledge of data quality tools (e.g., Informatica, Talend) Data governance principles SQL for data analysis Attention to detail and data accuracy",City of Baghdad,Intern,Oracle,"Data Quality Analysts ensure the accuracy, completeness, and consistency of data within an organization. They develop and implement data quality standards, perform data validation, and identify and resolve data quality issues to maintain data integrity."
419740,2219784476207233,Data Analyst,"Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making",Bandar Seri Begawan,Intern,Sky plc,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data."
926313,2800476010139281,Data Analyst,"Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making",Belmopan,Intern,Glenmark Pharmaceuticals,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data."
988263,434557388777729,Data Engineer,"Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing",San Salvador,Intern,"Fidelity Investments, Inc.","A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions."
1439915,6221274386416,Data Engineer,Data architecture design Database management systems Data modeling,Addis Ababa,Intern,Knight-Swift Transportation Holdings,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements."
97254,173597443647876,Data Engineer,"Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing",Kingstown,Intern,Indian Bank,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions."
259875,1259717967640383,Data Engineer,"ETL (Extract, Transform, Load) processes Data integration SQL and scripting languages",Tehran,Intern,"Workday, Inc.","An ETL Developer specializes in designing and implementing Extract, Transform, Load (ETL) processes to move and transform data between systems, supporting data integration and analytics."
870366,2234209867816068,Data Engineer,Data architecture design Database management systems Data modeling,Brussels,Intern,The Kraft Heinz Company,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements."
1061477,922769648748534,Data Engineer,"Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing",Castries,Intern,Interpublic Group,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions."
487859,1840336363024028,Data Engineer,"Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing",Jerusalem,Intern,Hikvision,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions."
484015,127020052980059,Data Engineer,"ETL (Extract, Transform, Load) processes Data integration SQL and scripting languages",Sanaa,Intern,Mphasis,"An ETL Developer specializes in designing and implementing Extract, Transform, Load (ETL) processes to move and transform data between systems, supporting data integration and analytics."
1403173,2582777806504923,Data Engineer,"Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing",Islamabad,Intern,Maruti Suzuki India,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions."
179470,1355805027699973,Data Engineer,Data architecture design Database management systems Data modeling,Mbabane,Intern,Gree Electric Appliances,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements."
1293527,4874800489452,Data Entry Clerk,Records management Data entry and retrieval Attention to detail,Caracas,Intern,E.ON SE,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed."
216597,740621363936651,Data Entry Clerk,Records management Data entry and retrieval Attention to detail,Funafuti,Intern,Nike,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed."
320871,1043457426849050,Data Entry Clerk,Office management Administrative tasks Communication and organization,San Salvador,Intern,Laboratory Corp. of America,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations."
639537,1787284112658755,Data Entry Clerk,Records management Data entry and retrieval Attention to detail,Copenhagen,Intern,Continental AG,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed."
963928,508087829445194,Data Entry Clerk,Records management Data entry and retrieval Attention to detail,Conakry,Intern,Weyerhaeuser,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed."
1013355,2651501458712147,Data Entry Clerk,Office management Administrative tasks Communication and organization,Addis Ababa,Intern,Nike,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations."
1089687,1167207407250993,Data Entry Clerk,Office management Administrative tasks Communication and organization,Ankara,Intern,International Business Machines,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations."
971469,2508041409729958,Data Entry Clerk,Office management Administrative tasks Communication and organization,Bratislava,Intern,Johnson & Johnson,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations."
837659,2182374885385143,Data Entry Clerk,Records management Data entry and retrieval Attention to detail,Minsk,Intern,SVB Financial Group,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed."
986276,435118854171758,Data Entry Clerk,Office management Administrative tasks Communication and organization,Moscow,Intern,SAP SE,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations."
907513,1755636433915485,Data Scientist,"Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing",Libreville,Intern,Colgate-Palmolive,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes."
615525,1593263892822720,Data Scientist,"Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing",Luanda,Intern,Spirax-Sarco Engineering,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes."
278849,985118710903311,Data Scientist,"Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing",Pristina,Intern,Everbright Securities,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes."
526771,1842626433455068,Data Scientist,"Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing",Baku,Intern,Lendlease Group,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes."
62632,1098270141155818,Data Scientist,Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation,Beijing,Intern,World Fuel Services,"Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment."
355212,1738224201372817,Data Scientist,"Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing",Managua,Intern,Petronet LNG,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes."
1097476,2169813348042796,Data Scientist,"Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing",Mogadishu,Intern,Prudential Financial,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes."
1232217,1120323056473828,Data Scientist,"Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing",London,Intern,Berger Paints India Limited,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes."
725630,2817176862827032,Data Scientist,"Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing",Nouakchott,Intern,Marico Limited,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes."
699224,327307329086602,Data Scientist,Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation,Port-au-Prince,Intern,Travelers,"Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment."
779467,602791332437719,Database Administrator,Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance,Luxembourg,Intern,Escorts Limited,"A Database Analyst examines and interprets data stored in databases. They generate reports, identify trends, and provide insights to support business decision-making."
835855,1754600025669272,Database Administrator,Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance,Ngerulmud,Intern,NCR,"A Database Analyst examines and interprets data stored in databases. They generate reports, identify trends, and provide insights to support business decision-making."
51026,564353682174992,Database Administrator,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring,Antananarivo,Intern,Shriram Transport Finance Company,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.
1060644,297111763551342,Database Administrator,"Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge",BogotÃ¡,Intern,UnitedHealth Group,"A Database Developer designs, develops, and maintains databases. They create efficient data structures, write queries, and ensure data security and integrity."
249061,732386531137971,Database Administrator,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring,Luxembourg,Intern,Vertex Pharmaceuticals,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.
1584168,1121365810333730,Database Administrator,Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance,Budapest,Intern,Adani Enterprises,"A Database Analyst examines and interprets data stored in databases. They generate reports, identify trends, and provide insights to support business decision-making."
328998,1513675233129457,Database Administrator,Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance,Yerevan,Intern,Brambles Limited,"A Database Analyst examines and interprets data stored in databases. They generate reports, identify trends, and provide insights to support business decision-making."
857594,562330295919514,Database Administrator,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring,Dhaka,Intern,Lam Research,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.
1075825,2533874711970091,Database Administrator,Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance,Bandar Seri Begawan,Intern,Taylor Morrison Home,"A Database Analyst examines and interprets data stored in databases. They generate reports, identify trends, and provide insights to support business decision-making."
881471,2591846630621069,Database Administrator,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring,Belgrade,Intern,Associated British Foods,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.
404539,1744643242204261,Database Developer,SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,Baku,Intern,NetEase,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security."
989889,742699784987112,Database Developer,"NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems",Guatemala City,Intern,Rockwell Automation,"NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency."
1500042,958816997532554,Database Developer,SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,Bucharest,Intern,Corning,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security."
219508,1426694158100213,Database Developer,"NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems",Moroni,Intern,Comcast,"NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency."
906045,58554106753775,Database Developer,"NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems",Quito,Intern,Ryder System,"NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency."
625133,2000012936761604,Database Developer,"NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems",Copenhagen,Intern,Chipotle Mexican Grill,"NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency."
298629,202198644299434,Database Developer,SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,Islamabad,Intern,CBRE Group,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security."
73531,1306231582385184,Database Developer,SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,Road Town,Intern,Eaton Corporation plc,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security."
1218946,935858187278439,Database Developer,"NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems",The City of Hamilton,Intern,NVR,"NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency."
51688,1135965987742421,Database Developer,"NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems",Luanda,Intern,Tencent Music Entertainment Group,"NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency."
1067239,2263813539249964,Dental Hygienist,Periodontal therapy procedures Patient care and communication Dental instrumentation Periodontal disease management Oral health education,Palikir,Intern,CVS Health,A Periodontal Therapist specializes in treating gum diseases and conditions. They perform procedures such as scaling and root planing to improve oral health and prevent tooth loss.
576861,1660848365259423,Dental Hygienist,Dental public health principles Community outreach and education Dental health program planning Epidemiology knowledge Public health regulations knowledge,BogotÃ¡,Intern,Ocado Group,A Dental Public Health Hygienist works to improve oral health at the community level. They develop and implement public health programs and educate individuals on oral hygiene.
529542,1997951254670537,Dental Hygienist,Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience,Amsterdam,Intern,Thermo Fisher Scientific,A Dental Hygiene Educator teaches dental hygiene practices and oral health to students or the community. They promote preventive care and raise awareness about dental health.
1151071,1979842871341908,Dental Hygienist,Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience,Canberra,Intern,Citizens Financial Group,A Dental Hygiene Educator teaches dental hygiene practices and oral health to students or the community. They promote preventive care and raise awareness about dental health.
331694,2197255357046725,Dental Hygienist,Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience,Georgetown,Intern,General Motors,A Dental Hygiene Educator teaches dental hygiene practices and oral health to students or the community. They promote preventive care and raise awareness about dental health.
252635,426640311028068,Dental Hygienist,Dental public health principles Community outreach and education Dental health program planning Epidemiology knowledge Public health regulations knowledge,Paris,Intern,Midea Group,A Dental Public Health Hygienist works to improve oral health at the community level. They develop and implement public health programs and educate individuals on oral hygiene.
88824,1516964818268364,Dental Hygienist,Periodontal therapy procedures Patient care and communication Dental instrumentation Periodontal disease management Oral health education,Valletta,Intern,Autoliv,A Periodontal Therapist specializes in treating gum diseases and conditions. They perform procedures such as scaling and root planing to improve oral health and prevent tooth loss.
1021081,1147037279651642,Dental Hygienist,Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience,Belgrade,Intern,Seven Group Holdings,A Dental Hygiene Educator teaches dental hygiene practices and oral health to students or the community. They promote preventive care and raise awareness about dental health.
106775,2143992661910019,Dental Hygienist,Periodontal therapy procedures Patient care and communication Dental instrumentation Periodontal disease management Oral health education,Yerevan,Intern,Ally Financial,A Periodontal Therapist specializes in treating gum diseases and conditions. They perform procedures such as scaling and root planing to improve oral health and prevent tooth loss.
